export_participant_user_id,export_participant_username,export_participant_user_email,export_participant_user_is_email_confirmed,export_participant_user_roles_text,export_participant_user_created_at,export_participant_user_updated_at,export_participant_user_last_login,export_participant_user_enabled,export_participant_confirmed_account_at,export_participant_user_groups,export_participant_user_locked,export_participant_gender,export_participant_firstname,export_participant_lastname,export_participant_date_of_birth,export_participant_website_url,export_participant_biography,export_participant_postal_address,export_participant_deleted_account_at,export_participant_facebook_id,export_participant_type,export_participant_consent_internal_communication,export_participant_consent_external_communication,export_participant_identification_code
user85,user85,user85@cap-collectif.com,Oui,Utilisateur,"2017-01-01 01:25:00",,,Oui,,Utilisateurs,Non,,firstname85,lastname85,,,,,,,Citoyen,Oui,Non,
user84,user84,user84@cap-collectif.com,Oui,Utilisateur,"2017-01-01 01:24:00",,,Oui,,Utilisateurs,Non,,firstname84,lastname84,,,,,,,Citoyen,Oui,Non,
user83,user83,user83@cap-collectif.com,Oui,Utilisateur,"2017-01-01 01:23:00",,,Oui,,Utilisateurs,Non,,firstname83,lastname83,,,,,,,Citoyen,Oui,Non,
user82,user82,user82@cap-collectif.com,Oui,Utilisateur,"2017-01-01 01:22:00",,,Oui,,Utilisateurs,Non,,firstname82,lastname82,,,,,,,Citoyen,Oui,Non,
user81,user81,user81@cap-collectif.com,Oui,Utilisateur,"2017-01-01 01:21:00",,,Oui,,Utilisateurs,Non,,firstname81,lastname81,,,,,,,Citoyen,Oui,Non,
user80,user80,user80@cap-collectif.com,Oui,Utilisateur,"2017-01-01 01:20:00",,,Oui,,Utilisateurs,Non,,firstname80,lastname80,,,,,,,Citoyen,Oui,Non,
user79,user79,user79@cap-collectif.com,Oui,Utilisateur,"2017-01-01 01:19:00",,,Oui,,Utilisateurs,Non,,firstname79,lastname79,,,,,,,Citoyen,Oui,Non,
user78,user78,user78@cap-collectif.com,Oui,Utilisateur,"2017-01-01 01:18:00",,,Oui,,Utilisateurs,Non,,firstname78,lastname78,,,,,,,Citoyen,Oui,Non,
user77,user77,user77@cap-collectif.com,Oui,Utilisateur,"2017-01-01 01:17:00",,,Oui,,Utilisateurs,Non,,firstname77,lastname77,,,,,,,Citoyen,Oui,Non,
user76,user76,user76@cap-collectif.com,Oui,Utilisateur,"2017-01-01 01:16:00",,,Oui,,Utilisateurs,Non,,firstname76,lastname76,,,,,,,Citoyen,Oui,Non,
user75,user75,user75@cap-collectif.com,Oui,Utilisateur,"2017-01-01 01:15:00",,,Oui,,Utilisateurs,Non,,firstname75,lastname75,,,,,,,Citoyen,Oui,Non,
user74,user74,user74@cap-collectif.com,Oui,Utilisateur,"2017-01-01 01:14:00",,,Oui,,Utilisateurs,Non,,firstname74,lastname74,,,,,,,Citoyen,Oui,Non,
user73,user73,user73@cap-collectif.com,Oui,Utilisateur,"2017-01-01 01:13:00",,,Oui,,Utilisateurs,Non,,firstname73,lastname73,,,,,,,Citoyen,Oui,Non,
user72,user72,user72@cap-collectif.com,Oui,Utilisateur,"2017-01-01 01:12:00",,,Oui,,Utilisateurs,Non,,firstname72,lastname72,,,,,,,Citoyen,Oui,Non,
user71,user71,user71@cap-collectif.com,Oui,Utilisateur,"2017-01-01 01:11:00",,,Oui,,Utilisateurs,Non,,firstname71,lastname71,,,,,,,Citoyen,Oui,Non,
user70,user70,user70@cap-collectif.com,Oui,Utilisateur,"2017-01-01 01:10:00",,,Oui,,Utilisateurs,Non,,firstname70,lastname70,,,,,,,Citoyen,Oui,Non,
user69,user69,user69@cap-collectif.com,Oui,Utilisateur,"2017-01-01 01:09:00",,,Oui,,Utilisateurs,Non,,firstname69,lastname69,,,,,,,Citoyen,Oui,Non,
user68,user68,user68@cap-collectif.com,Oui,Utilisateur,"2017-01-01 01:08:00",,,Oui,,Utilisateurs,Non,,firstname68,lastname68,,,,,,,Citoyen,Oui,Non,
user67,user67,user67@cap-collectif.com,Oui,Utilisateur,"2017-01-01 01:07:00",,,Oui,,Utilisateurs,Non,,firstname67,lastname67,,,,,,,Citoyen,Oui,Non,
user66,user66,user66@cap-collectif.com,Oui,Utilisateur,"2017-01-01 01:06:00",,,Oui,,Utilisateurs,Non,,firstname66,lastname66,,,,,,,Citoyen,Oui,Non,
user65,user65,user65@cap-collectif.com,Oui,Utilisateur,"2017-01-01 01:05:00",,,Oui,,Utilisateurs,Non,,firstname65,lastname65,,,,,,,Citoyen,Oui,Non,
user64,user64,user64@cap-collectif.com,Oui,Utilisateur,"2017-01-01 01:04:00",,,Oui,,Utilisateurs,Non,,firstname64,lastname64,,,,,,,Citoyen,Oui,Non,
user63,user63,user63@cap-collectif.com,Oui,Utilisateur,"2017-01-01 01:03:00",,,Oui,,Utilisateurs,Non,,firstname63,lastname63,,,,,,,Citoyen,Oui,Non,
user62,user62,user62@cap-collectif.com,Oui,Utilisateur,"2017-01-01 01:02:00",,,Oui,,Utilisateurs,Non,,firstname62,lastname62,,,,,,,Citoyen,Oui,Non,
user61,user61,user61@cap-collectif.com,Oui,Utilisateur,"2017-01-01 01:01:00",,,Oui,,Utilisateurs,Non,,firstname61,lastname61,,,,,,,Citoyen,Oui,Non,
user60,user60,user60@cap-collectif.com,Oui,Utilisateur,"2017-01-01 01:00:00",,,Oui,,Utilisateurs,Non,,firstname60,lastname60,,,,,,,Citoyen,Oui,Non,
user59,user59,user59@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:59:00",,,Oui,,Utilisateurs,Non,,firstname59,lastname59,,,,,,,Citoyen,Oui,Non,
user58,user58,user58@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:58:00",,,Oui,,Utilisateurs,Non,,firstname58,lastname58,,,,,,,Citoyen,Oui,Non,
user57,user57,user57@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:57:00",,,Oui,,Utilisateurs,Non,,firstname57,lastname57,,,,,,,Citoyen,Oui,Non,
user56,user56,user56@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:56:00",,,Oui,,Utilisateurs,Non,,firstname56,lastname56,,,,,,,Citoyen,Oui,Non,
user55,user55,user55@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:55:00",,,Oui,,Utilisateurs,Non,,firstname55,lastname55,,,,,,,Citoyen,Oui,Non,
user54,user54,user54@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:54:00",,,Oui,,Utilisateurs,Non,,firstname54,lastname54,,,,,,,Citoyen,Oui,Non,
user53,user53,user53@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:53:00",,,Oui,,Utilisateurs,Non,,firstname53,lastname53,,,,,,,Citoyen,Oui,Non,
user52,user52,user52@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:52:00",,,Oui,,Utilisateurs,Non,,firstname52,lastname52,,,,,,,Citoyen,Oui,Non,
user51,user51,user51@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:51:00",,,Oui,,Utilisateurs,Non,,firstname51,lastname51,,,,,,,Citoyen,Oui,Non,
user50,user50,user50@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:50:00",,,Oui,,Utilisateurs,Non,,firstname50,lastname50,,,,,,,Citoyen,Oui,Non,
user49,user49,user49@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:49:00",,,Oui,,Utilisateurs,Non,,firstname49,lastname49,,,,,,,Citoyen,Oui,Non,
user48,user48,user48@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:48:00",,,Oui,,Utilisateurs,Non,,firstname48,lastname48,,,,,,,Citoyen,Oui,Non,
user47,user47,user47@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:47:00",,,Oui,,Utilisateurs,Non,,firstname47,lastname47,,,,,,,Citoyen,Oui,Non,
user46,user46,user46@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:46:00",,,Oui,,Utilisateurs,Non,,firstname46,lastname46,,,,,,,Citoyen,Oui,Non,
user45,user45,user45@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:45:00",,,Oui,,Utilisateurs,Non,,firstname45,lastname45,,,,,,,Citoyen,Oui,Non,
user44,user44,user44@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:44:00",,,Oui,,Utilisateurs,Non,,firstname44,lastname44,,,,,,,Citoyen,Oui,Non,
user43,user43,user43@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:43:00",,,Oui,,Utilisateurs,Non,,firstname43,lastname43,,,,,,,Citoyen,Oui,Non,
user42,user42,user42@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:42:00",,,Oui,,Utilisateurs,Non,,firstname42,lastname42,,,,,,,Citoyen,Oui,Non,
user41,user41,user41@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:41:00",,,Oui,,Utilisateurs,Non,,firstname41,lastname41,,,,,,,Citoyen,Oui,Non,
user40,user40,user40@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:40:00",,,Oui,,Utilisateurs,Non,,firstname40,lastname40,,,,,,,Citoyen,Oui,Non,
user39,user39,user39@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:39:00",,,Oui,,Utilisateurs,Non,,firstname39,lastname39,,,,,,,Citoyen,Oui,Non,
user38,user38,user38@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:38:00",,,Oui,,Utilisateurs,Non,,firstname38,lastname38,,,,,,,Citoyen,Oui,Non,
user37,user37,user37@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:37:00",,,Oui,,Utilisateurs,Non,,firstname37,lastname37,,,,,,,Citoyen,Oui,Non,
user36,user36,user36@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:36:00",,,Oui,,Utilisateurs,Non,,firstname36,lastname36,,,,,,,Citoyen,Oui,Non,
user35,user35,user35@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:35:00",,,Oui,,Utilisateurs,Non,,firstname35,lastname35,,,,,,,Citoyen,Oui,Non,
user34,user34,user34@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:34:00",,,Oui,,Utilisateurs,Non,,firstname34,lastname34,,,,,,,Citoyen,Oui,Non,
user33,user33,user33@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:33:00",,,Oui,,Utilisateurs,Non,,firstname33,lastname33,,,,,,,Citoyen,Oui,Non,
user32,user32,user32@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:32:00",,,Oui,,Utilisateurs,Non,,firstname32,lastname32,,,,,,,Citoyen,Oui,Non,
user31,user31,user31@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:31:00",,,Oui,,Utilisateurs,Non,,firstname31,lastname31,,,,,,,Citoyen,Oui,Non,
user30,user30,user30@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:30:00",,,Oui,,Utilisateurs,Non,,firstname30,lastname30,,,,,,,Citoyen,Oui,Non,
user29,user29,user29@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:29:00",,,Oui,,Utilisateurs,Non,,firstname29,lastname29,,,,,,,Citoyen,Oui,Non,
user28,user28,user28@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:28:00",,,Oui,,Utilisateurs,Non,,firstname28,lastname28,,,,,,,Citoyen,Oui,Non,
user27,user27,user27@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:27:00",,,Oui,,Utilisateurs,Non,,firstname27,lastname27,,,,,,,Citoyen,Oui,Non,
user26,user26,user26@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:26:00",,,Oui,,Utilisateurs,Non,,firstname26,lastname26,,,,,,,Citoyen,Oui,Non,
user25,user25,user25@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:25:00",,,Oui,,Utilisateurs,Non,,firstname25,lastname25,,,,,,,Citoyen,Oui,Non,
user24,user24,user24@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:24:00",,,Oui,,Utilisateurs,Non,,firstname24,lastname24,,,,,,,Citoyen,Oui,Non,
user23,user23,user23@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:23:00",,,Oui,,Utilisateurs,Non,,firstname23,lastname23,,,,,,,Citoyen,Oui,Non,
user22,user22,user22@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:22:00",,,Oui,,,Non,,firstname22,lastname22,,,,,,,Citoyen,Oui,Non,
user21,user21,user21@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:21:00",,,Oui,,,Non,,firstname21,lastname21,,,,,,,Citoyen,Oui,Non,
user20,user20,user20@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:20:00",,,Oui,,,Non,,firstname20,lastname20,,,,,,,Citoyen,Oui,Non,
user19,user19,user19@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:19:00",,,Oui,,,Non,,firstname19,lastname19,,,,,,,Citoyen,Oui,Non,
user18,user18,user18@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:18:00",,,Oui,,,Non,,firstname18,lastname18,,,,,,,Citoyen,Oui,Non,
user17,user17,user17@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:17:00",,,Oui,,,Non,,firstname17,lastname17,,,,,,,Citoyen,Oui,Non,
user16,user16,user16@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:16:00",,,Oui,,,Non,,firstname16,lastname16,,,,,,,Citoyen,Oui,Non,
user15,user15,user15@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:15:00",,,Oui,,,Non,,firstname15,lastname15,,,,,,,Citoyen,Oui,Non,
user14,user14,user14@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:14:00",,,Oui,,Utilisateurs,Non,,firstname14,lastname14,,,,,,,Citoyen,Oui,Non,
user13,user13,user13@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:13:00",,,Oui,,Utilisateurs,Non,,firstname13,lastname13,,,,,,,Citoyen,Oui,Non,
user12,user12,user12@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:12:00",,,Oui,,Utilisateurs,Non,,firstname12,lastname12,,,,,,,Citoyen,Oui,Non,
user11,user11,user11@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:11:00",,,Oui,,Utilisateurs,Non,,firstname11,lastname11,,,,,,,Citoyen,Oui,Non,
user10,user10,user10@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:10:00",,,Oui,,Utilisateurs,Non,,firstname10,lastname10,,,,,,,Citoyen,Oui,Non,
user9,user9,user9@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:09:00",,,Oui,,Utilisateurs,Non,,firstname9,lastname9,,,,,,,Citoyen,Oui,Non,
user8,user8,user8@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:08:00",,,Oui,,Utilisateurs,Non,,firstname8,lastname8,,,,,,,Citoyen,Oui,Non,
user7,user7,user7@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:07:00",,,Oui,,,Non,,firstname7,lastname7,,,,,,,Citoyen,Oui,Non,
user6,user6,user6@cap-collectif.com,Oui,Utilisateur,"2017-01-01 00:06:00",,,Oui,,,Non,,firstname6,lastname6,,,,,,,Citoyen,Oui,Non,
userAnalyst,analyst,analyst@cap-collectif.com,Oui,Utilisateur,"2015-01-20 03:02:01",,,Oui,,,Non,,analyst,analyst,,,"Je suis l'analyste.",,,,Citoyen,Non,Non,
userAnalyst2,analyst2,analyst2@cap-collectif.com,Oui,Utilisateur,"2015-01-20 03:02:01",,,Oui,,,Non,,analyst2,analyst2,,,"Je suis l'analyste 2.",,,,Citoyen,Non,Non,
userMaximeQA,"Max de la QA",maxime.pouessel@cap-collectif.com,Oui,Utilisateur,"2015-01-20 03:02:01",,,Oui,,,Non,,Maxime,QA,,,"Le mec qui met des retours partout",,,,,Non,Non,
userMediator,mediator,mediator@cap-collectif.com,Oui,Utilisateur|Mediateur,"2015-01-19 13:01:02",,,Oui,,,Non,,mediator,mediator,,,"Je suis un mediateur",,,,Citoyen,Non,Non,
userSupervisor,supervisor,supervisor@cap-collectif.com,Oui,Utilisateur,"2015-01-19 13:01:02",,,Oui,,,Non,,supervisor,supervisor,,,"Je super vise.",,,,Citoyen,Non,Non,
userSupervisor2,supervisor2,supervisor2@cap-collectif.com,Oui,Utilisateur,"2015-01-19 09:14:07",,,Oui,,,Non,,supervisor2,supervisor2,,,"Je super vise deux fois.",,,,Citoyen,Non,Non,
userDecisionMaker,decisionmaker,decisionmaker@cap-collectif.com,Oui,Utilisateur,"2015-01-19 03:02:01",,,Oui,,,Non,,decisionmaker,decisionmaker,,,"CÉ MOI QUI DÉCIDE.",,,,Citoyen,Non,Non,
user520,OnePunchMan,saitama@cap-collectif.com,Oui,Utilisateur,"2015-01-19 00:00:00",,,Oui,,"Agent de la ville",Non,,Saitama,Dono,,,"Miskin il a que le role user.",,,,Citoyen,Oui,Non,
user521,userToDelete,userToDelete@cap-collectif.com,Oui,Utilisateur,"2015-01-19 00:00:00",,,Oui,,,Non,,userToDelete,userToDelete,,,"Supprime ma vie stp.",,,,Citoyen,Non,Non,
user518,,no_name@cap-collectif.com,Oui,Utilisateur,"2015-01-18 00:00:00",,,Oui,,,Non,,,,,,,,,,Citoyen,Non,Non,
user515,user_updating_email,user_updating_email@test.com,Oui,Utilisateur,"2015-01-15 12:02:03","2016-01-01 13:37:42",,Oui,,,Non,,user_updating_email,user_updating_email,,,,,,,Citoyen,Non,Non,
user522,johnsmith,john.smith@england.uk,Oui,Utilisateur,"2015-01-15 12:02:03","2016-01-01 13:37:42",,Oui,,,Non,,John,Smith,,,,,,,Citoyen,Non,Non,
user513,user_with_code_not_phone_confirmed,user_with_code_not_phone_confirmed@test.com,Oui,Utilisateur,"2015-01-14 00:00:00",,,Oui,,,Non,,user_with_code_not_phone_confirmed,user_with_code_not_phone_confirmed,,,,,,,Citoyen,Non,Non,
user514,admin_without_password,admin_without_password@test.com,Non,Administrateur|Utilisateur,"2015-01-14 00:00:00",,,Non,,,Non,,admin_without_password,admin_without_password,,,,,,,Citoyen,Non,Non,
user512,user_with_phone_not_phone_confirmed,user_with_phone_not_phone_confirmed@test.com,Oui,Utilisateur,"2015-01-13 00:00:00",,,Oui,,,Non,,user_with_phone_not_phone_confirmed,user_with_phone_not_phone_confirmed,,,,,,,Citoyen,Non,Non,
userNotConfirmedWithContributions,userNotConfirmedWithContributions,userNotConfirmedWithContributions@test.com,Non,Utilisateur,"2015-01-12 02:00:00",,,Oui,,,Non,,userNotConfirmedWithContributions,userNotConfirmedWithContributions,,,,,,,Citoyen,Non,Non,
user_not_confirmed,user_not_confirmed,user_not_confirmed@test.com,Non,Utilisateur,"2015-01-12 01:00:00",,,Oui,,,Non,,user_not_confirmed,user_not_confirmed,"1990-03-10 00:00:00",,,,,,Citoyen,Non,Non,
userKiroule,ptondereau,pierre@cap-collectif.com,Oui,"Utilisateur|Créateur de projet","2015-01-12 00:00:00",,,Oui,"2015-01-13 00:00:00","Evaluers on proposal2, Utilisateurs",Non,,Pierre,Tondereau,,,,,,,Citoyen,Non,Non,
user504,"user avec un nom très long comme par exemple conseil régional de machin truc",conseilregional@test.com,Oui,Utilisateur,"2015-01-11 00:00:00",,,Oui,,"Evaluers on proposal3",Non,,prenom,nom,,,,,,,Citoyen,Non,Non,
user503,disabled,disabled@test.com,Oui,Utilisateur,"2015-01-10 00:00:00",,,Non,,"Agent de la ville",Non,,disabled,disabled,,,,,,,Citoyen,Non,Non,
user5,user,user@test.com,Oui,Utilisateur,"2015-01-06 00:00:00","2016-01-01 00:00:00",,Oui,"2016-01-05 00:00:00",Super-administrateur,Non,f,Utilisateur,authentifier,"1996-03-01 00:00:00",,,,,,Citoyen,Oui,Non,DK2AZ554
adminCapco,adminpro,admin@cap-collectif.com,Oui,Administrateur|Utilisateur,"2015-01-05 00:00:00",,,Oui,,,Non,,Administrateur,authentifier,,,,,,,Citoyen,Non,Non,
userAdmin,admin,admin@test.com,Oui,Administrateur|Utilisateur,"2015-01-04 00:00:00",,,Oui,,"Utilisateurs, Projet 2",Non,,Administrateur,authentifier,,,,"26 Rue Claude Tillier, 75012 Paris, France",,,Citoyen,Non,Non,
user511,user_without_phone,user_without_phone@test.com,Oui,Utilisateur,"2015-01-01 00:00:00",,,Oui,,,Non,,user_without_phone,user_without_phone,,,,,,,Citoyen,Non,Non,
userWithConfirmedPhone,userWithConfirmedPhone,userWithConfirmedPhone@cap-collectif.com,Oui,Administrateur|Utilisateur,"2015-01-01 00:00:00",,,Oui,"2015-01-05 00:00:00",,Non,,userWithConfirmedPhone,userWithConfirmedPhone,,,,,,,Citoyen,Oui,Non,
valerieMassonDelmotte,"Valérie Masson Delmotte",valerie.massondelmotte@cap-collectif.com,Oui,Utilisateur,"1972-10-29 00:00:00",,,Oui,,,Non,,Valérie,"Masson Delmotte",,,"Valérie Masson-Delmotte, née le 29 octobre 1971 à Nancy1, est une paléoclimatologue française. Elle est directrice de recherche au CEA et coprésidente du groupe no 1 du GIEC depuis 2015.",,,,,Oui,Non,
ChristopheCassou,"Christophe Cassou",christophe.cassou@cap-collectif.com,Oui,Utilisateur,"1971-10-29 00:00:00",,,Oui,"2015-01-05 00:00:00",,Non,,Christophe,Cassou,,,"Directeur de Recherche atCNRS, Climatologue/Climate scientistAuteur principal 6e rapport #GIEC/atIPCC_CH 2021-22CoFondateur atTrainDuClimat",,,,,Oui,Non,
userBobMarley,"Bob Marley",b.marley@cap-collectif.com,Oui,Utilisateur,"1945-02-06 00:00:00",,,Oui,,,Non,,Bob,Marley,,,"Robert Nesta Marley dit Bob Marley, né le 6 février 1945 à Nine Mile et mort le 11 mai 1981 à Miami d'un cancer généralisé, est un auteur-compositeur-interprète et musicien jamaïcain.",,,,,Non,Non,
userLaurentAlexandre,"Laurent Alexandre",laurent.alexandre@cap-collectif.com,Oui,Utilisateur,"1945-02-06 00:00:00",,,Oui,,,Non,,Laurent,Alexandre,,,"Laurent Alexandre, né le 10 juin 1960 à Paris, haut fonctionnaire et médecin de formation, est un entrepreneur, écrivain et militant politique français.",,,,,Non,Non,
